Drug1	Drug2	cell	synergy	fold
5-FU	BORTEZOMIB	A2058	-2.395	4
5-FU	DASATINIB	A2058	1.5075	3
5-FU	ERLOTINIB	A2058	8.2525	3
5-FU	GELDANAMYCIN	A2058	6.0575	1
5-FU	LAPATINIB	A2058	4.92	4
5-FU	SORAFENIB	A2058	11.155	4
5-FU	SUNITINIB	A2058	13.5325	2
BORTEZOMIB	DASATINIB	A2058	1.05	4
BORTEZOMIB	GELDANAMYCIN	A2058	3.5625	3
BORTEZOMIB	SORAFENIB	A2058	12.895	2
BORTEZOMIB	TOPOTECAN	A2058	2.6475	2
DASATINIB	GELDANAMYCIN	A2058	-1.815	2
DASATINIB	SORAFENIB	A2058	13.4575	2
DASATINIB	TOPOTECAN	A2058	2.4525	2
DEXAMETHASONE	BORTEZOMIB	A2058	5.385	2
DEXAMETHASONE	DASATINIB	A2058	2.6975	2
DEXAMETHASONE	ERLOTINIB	A2058	-0.9	4
DEXAMETHASONE	GELDANAMYCIN	A2058	11.3325	1
DEXAMETHASONE	LAPATINIB	A2058	4.18	3
DEXAMETHASONE	SORAFENIB	A2058	17.79	2
DEXAMETHASONE	SUNITINIB	A2058	16.935	3
DOXORUBICIN	BORTEZOMIB	A2058	-0.0825	3
DOXORUBICIN	DASATINIB	A2058	1.65	1
DOXORUBICIN	ERLOTINIB	A2058	0.31	2
DOXORUBICIN	GELDANAMYCIN	A2058	0.9525	0
DOXORUBICIN	LAPATINIB	A2058	3.115	1
DOXORUBICIN	SORAFENIB	A2058	-0.9275	1
DOXORUBICIN	SUNITINIB	A2058	-1.125	2
ERLOTINIB	BORTEZOMIB	A2058	-1.195	4
ERLOTINIB	DASATINIB	A2058	5.085	3
ERLOTINIB	GELDANAMYCIN	A2058	6.1575	2
ERLOTINIB	SORAFENIB	A2058	8.445	4
ERLOTINIB	TOPOTECAN	A2058	13.74	0
ETOPOSIDE	BORTEZOMIB	A2058	3.95	4
ETOPOSIDE	DASATINIB	A2058	-0.1675	1
ETOPOSIDE	ERLOTINIB	A2058	2.54	0
ETOPOSIDE	GELDANAMYCIN	A2058	9.53	2
ETOPOSIDE	LAPATINIB	A2058	3.5975	0
ETOPOSIDE	SORAFENIB	A2058	3.7175	4
ETOPOSIDE	SUNITINIB	A2058	3.4675	0
GELDANAMYCIN	SORAFENIB	A2058	16.7075	2
GELDANAMYCIN	TOPOTECAN	A2058	7.5	0
GEMCITABINE	BORTEZOMIB	A2058	10.09	2
GEMCITABINE	DASATINIB	A2058	2.7175	4
GEMCITABINE	ERLOTINIB	A2058	8.84	3
GEMCITABINE	GELDANAMYCIN	A2058	9.8775	0
GEMCITABINE	LAPATINIB	A2058	5.9925	0
GEMCITABINE	SORAFENIB	A2058	3.0975	2
GEMCITABINE	SUNITINIB	A2058	8.2875	0
LAPATINIB	BORTEZOMIB	A2058	1.7725	4
LAPATINIB	DASATINIB	A2058	7.1	3
LAPATINIB	ERLOTINIB	A2058	5.1075	2
LAPATINIB	GELDANAMYCIN	A2058	9.875	2
LAPATINIB	SORAFENIB	A2058	20.58	4
LAPATINIB	TOPOTECAN	A2058	10.4225	1
METFORMIN	BORTEZOMIB	A2058	2.6525	0
METFORMIN	DASATINIB	A2058	-0.5275	4
METFORMIN	ERLOTINIB	A2058	-0.415	3
METFORMIN	GELDANAMYCIN	A2058	10.9925	1
METFORMIN	LAPATINIB	A2058	4.47	1
METFORMIN	SORAFENIB	A2058	17.3525	1
METFORMIN	SUNITINIB	A2058	13.2575	1
METHOTREXATE	BORTEZOMIB	A2058	-2.4275	0
METHOTREXATE	DASATINIB	A2058	5.06	4
METHOTREXATE	ERLOTINIB	A2058	3.2875	2
METHOTREXATE	GELDANAMYCIN	A2058	-6.2425	1
METHOTREXATE	LAPATINIB	A2058	0.105	1
METHOTREXATE	SORAFENIB	A2058	1.55	1
METHOTREXATE	SUNITINIB	A2058	-2.5225	3
PACLITAXEL	BORTEZOMIB	A2058	2.1075	4
PACLITAXEL	DASATINIB	A2058	0.645	3
PACLITAXEL	ERLOTINIB	A2058	-2.2525	2
PACLITAXEL	GELDANAMYCIN	A2058	3.855	1
PACLITAXEL	LAPATINIB	A2058	0.375	4
PACLITAXEL	SORAFENIB	A2058	3.4675	1
PACLITAXEL	SUNITINIB	A2058	5.6075	0
SUNITINIB	BORTEZOMIB	A2058	5.2975	0
SUNITINIB	DASATINIB	A2058	16.3975	1
SUNITINIB	ERLOTINIB	A2058	14.34	1
SUNITINIB	GELDANAMYCIN	A2058	10.5975	3
SUNITINIB	LAPATINIB	A2058	24.8375	0
SUNITINIB	SORAFENIB	A2058	12.515	4
SUNITINIB	TOPOTECAN	A2058	3.2725	3
TOPOTECAN	SORAFENIB	A2058	8.77	4
VINBLASTINE	BORTEZOMIB	A2058	4.51	3
VINBLASTINE	DASATINIB	A2058	-1.2525	4
VINBLASTINE	ERLOTINIB	A2058	8.9775	4
VINBLASTINE	GELDANAMYCIN	A2058	3.1475	0
VINBLASTINE	LAPATINIB	A2058	2.5875	4
VINBLASTINE	SORAFENIB	A2058	15.8075	3
VINBLASTINE	SUNITINIB	A2058	7.7925	3
VINORELBINE	BORTEZOMIB	A2058	0.125	1
VINORELBINE	DASATINIB	A2058	-1.34	2
VINORELBINE	ERLOTINIB	A2058	3.5475	1
VINORELBINE	GELDANAMYCIN	A2058	3.07	2
VINORELBINE	LAPATINIB	A2058	1.25	3
VINORELBINE	SORAFENIB	A2058	5.005	0
VINORELBINE	SUNITINIB	A2058	3.1575	3
5-FU	BORTEZOMIB	A2780	2.3325	4
5-FU	DASATINIB	A2780	11.825	2
5-FU	ERLOTINIB	A2780	15.215	0
5-FU	GELDANAMYCIN	A2780	4.1725	1
5-FU	LAPATINIB	A2780	15.875	3
5-FU	SORAFENIB	A2780	5.4125	1
5-FU	SUNITINIB	A2780	10.6925	2
BORTEZOMIB	DASATINIB	A2780	4.33	2
BORTEZOMIB	GELDANAMYCIN	A2780	3.0325	2
BORTEZOMIB	SORAFENIB	A2780	3.0225	3
BORTEZOMIB	TOPOTECAN	A2780	5.575	3
DASATINIB	GELDANAMYCIN	A2780	6.5325	2
DASATINIB	SORAFENIB	A2780	13.57	4
DASATINIB	TOPOTECAN	A2780	7.215	0
DEXAMETHASONE	BORTEZOMIB	A2780	1.5225	0
DEXAMETHASONE	DASATINIB	A2780	5.5075	4
DEXAMETHASONE	ERLOTINIB	A2780	3.7525	1
DEXAMETHASONE	GELDANAMYCIN	A2780	3.005	4
DEXAMETHASONE	LAPATINIB	A2780	4.5975	2
DEXAMETHASONE	SORAFENIB	A2780	2.0025	0
DEXAMETHASONE	SUNITINIB	A2780	5.795	1
DOXORUBICIN	BORTEZOMIB	A2780	4.1825	1
DOXORUBICIN	DASATINIB	A2780	7.6625	0
DOXORUBICIN	ERLOTINIB	A2780	6.0	2
DOXORUBICIN	GELDANAMYCIN	A2780	2.6175	4
DOXORUBICIN	LAPATINIB	A2780	8.875	4
DOXORUBICIN	SORAFENIB	A2780	-0.3575	0
DOXORUBICIN	SUNITINIB	A2780	-0.38	4
ERLOTINIB	BORTEZOMIB	A2780	2.68	3
ERLOTINIB	DASATINIB	A2780	11.615	0
ERLOTINIB	GELDANAMYCIN	A2780	5.6025	3
ERLOTINIB	SORAFENIB	A2780	8.295	0
ERLOTINIB	TOPOTECAN	A2780	13.0275	4
ETOPOSIDE	BORTEZOMIB	A2780	3.64	0
ETOPOSIDE	DASATINIB	A2780	9.715	2
ETOPOSIDE	ERLOTINIB	A2780	9.72	2
ETOPOSIDE	GELDANAMYCIN	A2780	3.5125	3
ETOPOSIDE	LAPATINIB	A2780	12.05	1
ETOPOSIDE	SORAFENIB	A2780	1.675	3
ETOPOSIDE	SUNITINIB	A2780	2.3025	3
GELDANAMYCIN	SORAFENIB	A2780	2.2275	1
GELDANAMYCIN	TOPOTECAN	A2780	3.3425	4
GEMCITABINE	BORTEZOMIB	A2780	2.8025	4
GEMCITABINE	DASATINIB	A2780	5.885	3
GEMCITABINE	ERLOTINIB	A2780	4.76	0
GEMCITABINE	GELDANAMYCIN	A2780	0.7825	3
GEMCITABINE	LAPATINIB	A2780	5.7025	3
GEMCITABINE	SORAFENIB	A2780	0.2475	1
GEMCITABINE	SUNITINIB	A2780	2.825	4
LAPATINIB	BORTEZOMIB	A2780	5.6925	4
LAPATINIB	DASATINIB	A2780	19.5325	1
LAPATINIB	ERLOTINIB	A2780	9.385	0
LAPATINIB	GELDANAMYCIN	A2780	6.77	3
LAPATINIB	SORAFENIB	A2780	7.7375	1
LAPATINIB	TOPOTECAN	A2780	10.205	3
METFORMIN	BORTEZOMIB	A2780	0.645	4
METFORMIN	DASATINIB	A2780	10.49	4
METFORMIN	ERLOTINIB	A2780	4.5225	3
METFORMIN	GELDANAMYCIN	A2780	1.3575	1
METFORMIN	LAPATINIB	A2780	4.83	1
METFORMIN	SORAFENIB	A2780	5.6425	3
METFORMIN	SUNITINIB	A2780	11.5225	2
METHOTREXATE	BORTEZOMIB	A2780	0.7725	2
METHOTREXATE	DASATINIB	A2780	2.15	4
METHOTREXATE	ERLOTINIB	A2780	2.595	0
METHOTREXATE	GELDANAMYCIN	A2780	-1.18	2
METHOTREXATE	LAPATINIB	A2780	2.33	4
METHOTREXATE	SORAFENIB	A2780	0.8175	2
METHOTREXATE	SUNITINIB	A2780	-0.14	4
PACLITAXEL	BORTEZOMIB	A2780	2.215	2
PACLITAXEL	DASATINIB	A2780	11.8525	0
PACLITAXEL	ERLOTINIB	A2780	4.1875	3
PACLITAXEL	GELDANAMYCIN	A2780	0.67	3
PACLITAXEL	LAPATINIB	A2780	5.665	4
PACLITAXEL	SORAFENIB	A2780	5.3925	1
PACLITAXEL	SUNITINIB	A2780	6.03	4
SUNITINIB	BORTEZOMIB	A2780	6.1425	4
SUNITINIB	DASATINIB	A2780	15.355	3
SUNITINIB	ERLOTINIB	A2780	12.2275	1
SUNITINIB	GELDANAMYCIN	A2780	6.17	4
SUNITINIB	LAPATINIB	A2780	17.3475	3
SUNITINIB	SORAFENIB	A2780	2.3625	0
SUNITINIB	TOPOTECAN	A2780	3.3675	0
TOPOTECAN	SORAFENIB	A2780	3.0325	2
VINBLASTINE	BORTEZOMIB	A2780	4.2425	2
VINBLASTINE	DASATINIB	A2780	9.4425	3
VINBLASTINE	ERLOTINIB	A2780	10.5925	3
VINBLASTINE	GELDANAMYCIN	A2780	3.0275	0
VINBLASTINE	LAPATINIB	A2780	8.0425	0
VINBLASTINE	SORAFENIB	A2780	5.5925	1
VINBLASTINE	SUNITINIB	A2780	6.3175	3
VINORELBINE	BORTEZOMIB	A2780	2.22	4
VINORELBINE	DASATINIB	A2780	6.845	3
VINORELBINE	ERLOTINIB	A2780	5.4375	3
VINORELBINE	GELDANAMYCIN	A2780	1.44	4
VINORELBINE	LAPATINIB	A2780	5.8925	1
VINORELBINE	SORAFENIB	A2780	1.69	0
VINORELBINE	SUNITINIB	A2780	5.1375	1
5-FU	BORTEZOMIB	A375	0.9975	0
5-FU	DASATINIB	A375	0.1925	0
5-FU	ERLOTINIB	A375	1.12	0
5-FU	GELDANAMYCIN	A375	6.2925	4
5-FU	LAPATINIB	A375	-0.8575	4
5-FU	SORAFENIB	A375	7.2025	0
5-FU	SUNITINIB	A375	7.425	0
BORTEZOMIB	DASATINIB	A375	-1.65	3
BORTEZOMIB	GELDANAMYCIN	A375	3.785	3
BORTEZOMIB	SORAFENIB	A375	8.0675	4
BORTEZOMIB	TOPOTECAN	A375	-4.8325	3
DASATINIB	GELDANAMYCIN	A375	9.8675	2
DASATINIB	SORAFENIB	A375	13.25	2
DASATINIB	TOPOTECAN	A375	6.125	0
DEXAMETHASONE	BORTEZOMIB	A375	3.32	1
DEXAMETHASONE	DASATINIB	A375	13.6625	1
DEXAMETHASONE	ERLOTINIB	A375	-1.9475	2
DEXAMETHASONE	GELDANAMYCIN	A375	5.59	4
DEXAMETHASONE	LAPATINIB	A375	0.11	4
DEXAMETHASONE	SORAFENIB	A375	13.375	0
DEXAMETHASONE	SUNITINIB	A375	16.555	2
DOXORUBICIN	BORTEZOMIB	A375	-0.1025	3
DOXORUBICIN	DASATINIB	A375	-4.7025	3
DOXORUBICIN	ERLOTINIB	A375	-5.645	1
DOXORUBICIN	GELDANAMYCIN	A375	-2.4225	3
DOXORUBICIN	LAPATINIB	A375	-3.9125	3
DOXORUBICIN	SORAFENIB	A375	-16.425	0
DOXORUBICIN	SUNITINIB	A375	-17.505	4
ERLOTINIB	BORTEZOMIB	A375	-0.2325	3
ERLOTINIB	DASATINIB	A375	-2.415	1
ERLOTINIB	GELDANAMYCIN	A375	10.1875	4
ERLOTINIB	SORAFENIB	A375	8.5525	2
ERLOTINIB	TOPOTECAN	A375	15.61	2
ETOPOSIDE	BORTEZOMIB	A375	0.0675	0
ETOPOSIDE	DASATINIB	A375	5.2025	3
ETOPOSIDE	ERLOTINIB	A375	6.8	1
ETOPOSIDE	GELDANAMYCIN	A375	0.365	0
ETOPOSIDE	LAPATINIB	A375	3.175	2
ETOPOSIDE	SORAFENIB	A375	1.3875	1
ETOPOSIDE	SUNITINIB	A375	-1.3525	4
GELDANAMYCIN	SORAFENIB	A375	6.835	0
GELDANAMYCIN	TOPOTECAN	A375	-0.8975	2
GEMCITABINE	BORTEZOMIB	A375	1.86	0
GEMCITABINE	DASATINIB	A375	2.8825	4
GEMCITABINE	ERLOTINIB	A375	0.41	3
GEMCITABINE	GELDANAMYCIN	A375	0.23	0
GEMCITABINE	LAPATINIB	A375	-1.6825	2
GEMCITABINE	SORAFENIB	A375	1.2675	4
GEMCITABINE	SUNITINIB	A375	1.7075	2
LAPATINIB	BORTEZOMIB	A375	3.1625	0
LAPATINIB	DASATINIB	A375	-3.375	3
LAPATINIB	ERLOTINIB	A375	-5.1725	4
LAPATINIB	GELDANAMYCIN	A375	9.0575	1
LAPATINIB	SORAFENIB	A375	7.975	4
LAPATINIB	TOPOTECAN	A375	6.255	2
METFORMIN	BORTEZOMIB	A375	-0.7575	0
METFORMIN	DASATINIB	A375	-2.735	0
METFORMIN	ERLOTINIB	A375	-3.3975	0
METFORMIN	GELDANAMYCIN	A375	0.9775	3
METFORMIN	LAPATINIB	A375	-2.0175	2
METFORMIN	SORAFENIB	A375	8.3	1
METFORMIN	SUNITINIB	A375	4.9275	1
METHOTREXATE	BORTEZOMIB	A375	3.4575	3
METHOTREXATE	DASATINIB	A375	0.2	1
METHOTREXATE	ERLOTINIB	A375	10.26	2
METHOTREXATE	GELDANAMYCIN	A375	5.0325	4
METHOTREXATE	LAPATINIB	A375	9.2575	4
METHOTREXATE	SORAFENIB	A375	6.9325	1
METHOTREXATE	SUNITINIB	A375	-2.295	0
PACLITAXEL	BORTEZOMIB	A375	-0.9375	1
PACLITAXEL	DASATINIB	A375	5.08	2
PACLITAXEL	ERLOTINIB	A375	9.9375	1
PACLITAXEL	GELDANAMYCIN	A375	-0.54	2
PACLITAXEL	LAPATINIB	A375	17.83	0
PACLITAXEL	SORAFENIB	A375	10.055	4
